strain	submitting_lab	originating_lab	virus	segment
A/NewYork/618/1995	other_database_import		h3n2	ha
A/NewYork/624/1996	other_database_import		h3n2	ha
A/Singapore/1/1996	other_database_import		h3n2	ha
A/Geneva/3958/1996	other_database_import		h3n2	ha
A/Malaysia/7831/1995	other_database_import		h3n2	ha
A/Brisbane/7/1996	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_	h3n2	ha
A/NewYork/652/1996	other_database_import		h3n2	ha
A/Nanchang/933/1995-egg	erasmus_medical_center	erasmus_medical_center	h3n2	ha
A/Nanchang/933/1995	erasmus_medical_center	erasmus_medical_center	h3n2	ha
A/Wuhan/359/1995-egg	ha	seasonal_h3n2	h3n2	ha
A/Wuhan/359/1995	other_database_import		h3n2	ha
A/Bangkok/1/1997-egg	who_collaborating_centre_for_reference_and_research_on_influenza	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	h3n2	ha
A/Bangkok/1/1997	other_database_import	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	h3n2	ha
A/Auckland/19/1996-egg	ha	seasonal_h3n2	h3n2	ha
A/Auckland/19/1996	other_database_import		h3n2	ha
A/Auckland/5/1996-egg	ha	seasonal_h3n2	h3n2	ha
A/Auckland/5/1996	other_database_import	auckland_healthcare	h3n2	ha
A/Brisbane/22/1996	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_	h3n2	ha
A/SaudiArabia/24/1996	national_institute_for_medical_research	ministry_of_health_riyadh	h3n2	ha
A/Brisbane/8/1996	erasmus_medical_center	erasmus_medical_center	h3n2	ha
A/Christchurch/1/1996	who_collaborating_centre_for_reference_and_research_on_influenza	canterbury_health_services	h3n2	ha
A/Wellington/48/1996	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_environmental_science_and_research_(esr)	h3n2	ha
A/NewYork/558/1997	other_database_import		h3n2	ha
A/NewYork/562/1996	other_database_import		h3n2	ha
A/NewYork/593/1996	other_database_import		h3n2	ha
A/NewYork/584/1996	other_database_import		h3n2	ha
A/NewYork/585/1997	other_database_import		h3n2	ha
A/Canberra/1/1996-egg	ha	seasonal_h3n2	h3n2	ha
A/NewYork/617/1996	other_database_import		h3n2	ha
A/NewYork/631/1996	other_database_import		h3n2	ha
A/HongKong/55/1995	other_database_import		h3n2	ha
A/Malaysia/10370/1996	other_database_import		h3n2	ha
A/Malaysia/10135/1996	other_database_import		h3n2	ha
A/Malaysia/10111/1996	other_database_import		h3n2	ha
A/Malaysia/10081/1996	other_database_import		h3n2	ha
A/Nice/491/1997	other_database_import		h3n2	ha
A/Lyon/1781/1996	other_database_import		h3n2	ha
A/NewYork/590/1996	other_database_import		h3n2	ha
A/Johannesburg/10/1997	other_database_import		h3n2	ha
A/Malaysia/11473/1996	other_database_import		h3n2	ha
A/NewYork/587/1996	other_database_import		h3n2	ha
A/NewYork/581/1997	other_database_import		h3n2	ha
A/NewYork/579/1997	other_database_import		h3n2	ha
A/HongKong/CUHK4147/1997	other_database_import		h3n2	ha
A/Netherlands/5/1998	other_database_import		h3n2	ha
A/Paris/896/1997	other_database_import		h3n2	ha
A/Paris/906/1997	other_database_import		h3n2	ha
A/NewYork/576/1997	other_database_import		h3n2	ha
A/NewYork/564/1997	other_database_import		h3n2	ha
A/NewYork/594/1996	other_database_import		h3n2	ha
A/NewYork/560/1997	other_database_import		h3n2	ha
A/NewYork/599/1996	other_database_import		h3n2	ha
A/NewYork/583/1997	other_database_import		h3n2	ha
A/NewYork/566/1997	other_database_import		h3n2	ha
A/NewYork/600/1996	other_database_import		h3n2	ha
A/NewYork/575/1996	other_database_import		h3n2	ha
A/NewYork/574/1996	other_database_import		h3n2	ha
A/Oklahoma/5098/1996	other_database_import		h3n2	ha
A/HongKong/1/1997	other_database_import		h3n2	ha
A/NewYork/592/1996	other_database_import		h3n2	ha
A/Oslo/21/1997	other_database_import		h3n2	ha
A/NewYork/537/1998	other_database_import		h3n2	ha
A/HongKong/CUHK20217/1997	other_database_import		h3n2	ha
A/Tasmania/1/1997	other_database_import	royal_hobart_hospital	h3n2	ha
A/Victoria/47/1997	who_collaborating_centre_for_reference_and_research_on_influenza	who_collaborating_centre_for_reference_and_research_on_influenza	h3n2	ha
A/HongKong/CUHK4391/1997	other_database_import		h3n2	ha
A/HongKong/CUHK20731/1997	other_database_import		h3n2	ha
A/HongKong/CUHK12626/1997	other_database_import		h3n2	ha
A/HongKong/CUHK22736/1997	other_database_import		h3n2	ha
A/HongKong/CUHK22048/1997	other_database_import		h3n2	ha
A/HongKong/CUHK22185/1997	other_database_import		h3n2	ha
A/HongKong/CUHK4622/1997	other_database_import		h3n2	ha
A/HongKong/CUHK4529/1997	other_database_import		h3n2	ha
A/HongKong/CUHK20236/1997	other_database_import		h3n2	ha
A/HongKong/CUHK20320/1997	other_database_import		h3n2	ha
A/Perth/9/1997	other_database_import	pathwest_qe_ii_medical_centre	h3n2	ha
A/HongKong/CUHK22013/1997	other_database_import		h3n2	ha
A/HongKong/CUHK20992/1997	other_database_import		h3n2	ha
A/HongKong/CUHK20010/1997	other_database_import		h3n2	ha
A/HongKong/CUHK4542/1997	other_database_import		h3n2	ha
A/HongKong/CUHK12794/1997	other_database_import		h3n2	ha
A/Perth/5/1997	other_database_import	pathwest_qe_ii_medical_centre	h3n2	ha
A/HongKong/CUHK20199/1997	other_database_import		h3n2	ha
A/HongKong/CUHK4803/1997	other_database_import		h3n2	ha
A/HongKong/CUHK12566/1997	other_database_import		h3n2	ha
A/HongKong/CUHK12563/1997	other_database_import		h3n2	ha
A/Paris/908/1997	other_database_import		h3n2	ha
A/Dakar/5/1997	national_institute_for_medical_research	institut_pasteur_de_dakar	h3n2	ha
A/Dakar/6/1997	national_institute_for_medical_research	institut_pasteur_de_dakar	h3n2	ha
A/HongKong/20/1996	other_database_import		h3n2	ha
A/NewYork/569/1997	other_database_import		h3n2	ha
A/NewYork/596/1996	other_database_import		h3n2	ha
A/NewYork/571/1996	other_database_import		h3n2	ha
A/NewYork/582/1996	other_database_import		h3n2	ha
A/Lisbon/1/1997	national_institute_for_medical_research	instituto_nacional_de_saude	h3n2	ha
A/HongKong/357/1996	other_database_import		h3n2	ha
A/Oklahoma/3003/1996	other_database_import		h3n2	ha
A/NewYork/589/1996	other_database_import		h3n2	ha
A/NewYork/578/1996	other_database_import		h3n2	ha
A/NewYork/588/1996	other_database_import		h3n2	ha
A/NewYork/602/1996	other_database_import		h3n2	ha
A/NewYork/597/1997	other_database_import		h3n2	ha
A/NewYork/598/1996	other_database_import		h3n2	ha
A/NewYork/577/1996	other_database_import		h3n2	ha
A/NewYork/567/1996	other_database_import		h3n2	ha
A/NewYork/557/1996	other_database_import		h3n2	ha
A/NewYork/603/1996	other_database_import		h3n2	ha
A/NewYork/554/1996	other_database_import		h3n2	ha
A/NewYork/586/1996	other_database_import		h3n2	ha
A/Malaysia/10360/1996	other_database_import		h3n2	ha
A/NewYork/555/1996	other_database_import		h3n2	ha
A/NewYork/556/1996	other_database_import		h3n2	ha
A/NewYork/561/1996	other_database_import		h3n2	ha
A/NewYork/601/1996	other_database_import		h3n2	ha
A/NewYork/595/1996	other_database_import		h3n2	ha
A/NewYork/568/1996	other_database_import		h3n2	ha
A/NewYork/559/1996	other_database_import		h3n2	ha
A/SouthAfrica/D1147/1996-egg	national_institute_for_medical_research	national_institute_for_communicable_disease	h3n2	ha
A/SouthAfrica/1147/1996-egg	other_database_import		h3n2	ha
A/HongKong/358/1996	other_database_import		h3n2	ha
A/NewYork/563/1996	other_database_import		h3n2	ha
A/HongKong/CUHK4245/1997	other_database_import		h3n2	ha
A/Siena/1/1997	other_database_import		h3n2	ha
A/HongKong/CUHK20213/1997	other_database_import		h3n2	ha
A/Malaysia/13241/1997	other_database_import		h3n2	ha
A/Malaysia/12726/1997	other_database_import		h3n2	ha
A/HongKong/CUHK20523/1997	other_database_import		h3n2	ha
A/HongKong/CUHK12160/1997	other_database_import		h3n2	ha
A/Shenzhen/1718/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	who_chinese_national_influenza_center	h3n2	ha
A/Malaysia/10997/1996	other_database_import		h3n2	ha
A/HongKong/CUHK18036/1998	other_database_import		h3n2	ha
A/HongKong/CUHK18230/1998	other_database_import		h3n2	ha
A/HongKong/CUHK19579/1998	other_database_import		h3n2	ha
A/Canberra/9/1997	who_collaborating_centre_for_reference_and_research_on_influenza	canberra_hospital	h3n2	ha
A/NewYork/517/1998	other_database_import		h3n2	ha
A/HongKong/CUHK10554/1998	other_database_import		h3n2	ha
A/Memphis/31/1998	other_database_import		h3n2	ha
A/Nagasaki/76/1998	other_database_import		h3n2	ha
A/NewYork/539/1998	other_database_import		h3n2	ha
A/HongKong/CUHK10954/1998	other_database_import		h3n2	ha
A/NewYork/521/1998	other_database_import		h3n2	ha
A/NewYork/520/1998	other_database_import		h3n2	ha
A/NewYork/548/1998	other_database_import		h3n2	ha
A/NewYork/522/1997	other_database_import		h3n2	ha
A/NewYork/546/1998	other_database_import		h3n2	ha
A/NewYork/506/1998	other_database_import		h3n2	ha
A/NewYork/505/1997	other_database_import		h3n2	ha
A/NewYork/534/1998	other_database_import		h3n2	ha
A/NewYork/542/1998	other_database_import		h3n2	ha
A/NewYork/547/1997	other_database_import		h3n2	ha
A/NewYork/503/1997	other_database_import		h3n2	ha
A/NewYork/519/1998	other_database_import		h3n2	ha
A/NewYork/515/1997	other_database_import		h3n2	ha
A/NewYork/511/1997	other_database_import		h3n2	ha
A/NewYork/523/1998	other_database_import		h3n2	ha
A/NewYork/531/1998	other_database_import		h3n2	ha
A/NewYork/513/1997	other_database_import		h3n2	ha
A/NewYork/524/1997	other_database_import		h3n2	ha
A/NewYork/504/1998	other_database_import		h3n2	ha
A/NewYork/525/1998	other_database_import		h3n2	ha
A/NewYork/502/1998	other_database_import		h3n2	ha
A/NewYork/509/1997	other_database_import		h3n2	ha
A/NewYork/544/1998	other_database_import		h3n2	ha
A/NewYork/514/1998	other_database_import		h3n2	ha
A/NewYork/512/1998	other_database_import		h3n2	ha
A/NewYork/508/1997	other_database_import		h3n2	ha
A/NewYork/516/1997	other_database_import		h3n2	ha
A/NewYork/507/1997	other_database_import		h3n2	ha
A/NewYork/530/1998	other_database_import		h3n2	ha
A/NewYork/510/1998	other_database_import		h3n2	ha
A/Sydney/74B/1997	who_collaborating_centre_for_reference_and_research_on_influenza	westmead_hospital	h3n2	ha
A/HongKong/CUHK10632/1998	other_database_import		h3n2	ha
A/NewYork/526/1997	other_database_import		h3n2	ha
A/NewYork/536/1998	other_database_import		h3n2	ha
A/Sydney/5/1997-egg	erasmus_medical_center	erasmus_medical_center	h3n2	ha
A/Sydney/5/1997	erasmus_medical_center	erasmus_medical_center	h3n2	ha
A/Auckland/10/1997	other_database_import		h3n2	ha
A/NewYork/540/1998	other_database_import		h3n2	ha
A/NewYork/550/1998	other_database_import		h3n2	ha
A/NewYork/501/1997	other_database_import		h3n2	ha
A/Netherlands/300/1997	other_database_import		h3n2	ha
A/NewYork/535/1998	other_database_import		h3n2	ha
A/NewYork/545/1997	other_database_import		h3n2	ha
A/NewYork/532/1998	other_database_import		h3n2	ha
A/NewYork/528/1998	other_database_import		h3n2	ha
A/NewYork/529/1998	other_database_import		h3n2	ha
A/NewYork/538/1998	other_database_import		h3n2	ha
A/NewYork/527/1998	other_database_import		h3n2	ha
A/NewYork/533/1998	other_database_import		h3n2	ha
A/HongKong/CUHK41114/1997	other_database_import		h3n2	ha
A/HongKong/CUHK41459/1997	other_database_import		h3n2	ha
A/HongKong/CUHK41507/1997	other_database_import		h3n2	ha
A/HongKong/CUHK17464/1998	other_database_import		h3n2	ha
A/HongKong/CUHK17707/1998	other_database_import		h3n2	ha
A/HongKong/CUHK18358/1998	other_database_import		h3n2	ha
A/HongKong/CUHK18194/1998	other_database_import		h3n2	ha
A/NewYork/263/1999	other_database_import		h3n2	ha
A/NewYork/278/1999	other_database_import		h3n2	ha
A/NewYork/456/1999	other_database_import		h3n2	ha
A/NewYork/324/1999	other_database_import		h3n2	ha
A/HongKong/CUHK50722/1998	other_database_import		h3n2	ha
A/HongKong/CUHK50552/1998	other_database_import		h3n2	ha
A/NewYork/250/1998	other_database_import		h3n2	ha
A/NewYork/287/1998	other_database_import		h3n2	ha
A/HongKong/CUHK17697/1998	other_database_import		h3n2	ha
A/HongKong/CUHK18610/1998	other_database_import		h3n2	ha
A/HongKong/CUHK18886/1998	other_database_import		h3n2	ha
A/HongKong/CUHK17643/1998	other_database_import		h3n2	ha
A/HongKong/CUHK17603/1998	other_database_import		h3n2	ha
A/HongKong/CUHK16614/1998	other_database_import		h3n2	ha
A/HongKong/CUHK18218/1998	other_database_import		h3n2	ha
A/HongKong/CUHK17704/1998	other_database_import		h3n2	ha
A/HongKong/CUHK18351/1998	other_database_import		h3n2	ha
A/Fukushima/1999/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	national_institute_of_infectious_diseases_(niid)	h3n2	ha
A/HongKong/CUHK10660/1998	other_database_import		h3n2	ha
A/Switzerland/7729/1998	other_database_import		h3n2	ha
A/Nagasaki/93/1998	other_database_import		h3n2	ha
A/Johannesburg/15/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	national_institute_for_communicable_disease	h3n2	ha
A/Sichuan/346/1998-egg	national_institute_for_medical_research	who_chinese_national_influenza_center	h3n2	ha
A/HongKong/CUHK10186/1998	other_database_import		h3n2	ha
A/Johannesburg/3/1998-egg	other_database_import		h3n2	ha
A/HongKong/CUHK10960/1998	other_database_import		h3n2	ha
A/HongKong/CUHK10537/1998	other_database_import		h3n2	ha
A/HongKong/CUHK10756/1998	other_database_import		h3n2	ha
A/HongKong/CUHK10276/1998	other_database_import		h3n2	ha
A/HongKong/CUHK41757/1997	other_database_import		h3n2	ha
A/HongKong/CUHK10216/1998	other_database_import		h3n2	ha
A/SouthAfrica/21/1998-egg	other_database_import		h3n2	ha
A/SouthAfrica/8/1998-egg	other_database_import		h3n2	ha
A/Johannesburg/7/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	national_institute_for_communicable_disease	h3n2	ha
A/HongKong/CUHK41222/1997	other_database_import		h3n2	ha
A/HongKong/CUHK10958/1998	other_database_import		h3n2	ha
A/NewYork/339/1999	other_database_import		h3n2	ha
A/NewYork/289/1998	other_database_import		h3n2	ha
A/NewYork/448/1998	other_database_import		h3n2	ha
A/Victoria/318/1998-egg	national_institute_for_medical_research	who_collaborating_centre_for_reference_and_research_on_influenza	h3n2	ha
A/Sydney/68/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	westmead_hospital	h3n2	ha
A/Victoria/605/1998-egg	other_database_import	monash_medical_centre	h3n2	ha
A/Thailand/Siriraj-08/1998	other_database_import		h3n2	ha
A/Tehran/83/1999-egg	other_database_import		h3n2	ha
A/Victoria/512/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	monash_medical_centre	h3n2	ha
A/Malaysia/17276/1998	other_database_import		h3n2	ha
A/Netherlands/462/1998	other_database_import		h3n2	ha
A/Victoria/308/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	royal_chidrens_hospital	h3n2	ha
A/Victoria/309/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	royal_chidrens_hospital	h3n2	ha
A/HongKong/CUHK17872/1998	other_database_import		h3n2	ha
A/Netherlands/427/1998	other_database_import		h3n2	ha
A/Victoria/507/1998	who_collaborating_centre_for_reference_and_research_on_influenza	monash_medical_centre	h3n2	ha
A/Victoria/312/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	royal_chidrens_hospital	h3n2	ha
A/Malaysia/17332/1998	other_database_import		h3n2	ha
A/Victoria/318/1998	who_collaborating_centre_for_reference_and_research_on_influenza	who_collaborating_centre_for_reference_and_research_on_influenza	h3n2	ha
A/Malaysia/17392/1998	other_database_import		h3n2	ha
A/Victoria/605/1998	who_collaborating_centre_for_reference_and_research_on_influenza	monash_medical_centre	h3n2	ha
A/HongKong/CUHK10100/1999	other_database_import		h3n2	ha
A/NewYork/283/1999	other_database_import		h3n2	ha
A/Malaysia/17230/1998	other_database_import		h3n2	ha
A/Victoria/308/1998	who_collaborating_centre_for_reference_and_research_on_influenza	royal_chidrens_hospital	h3n2	ha
A/NewYork/247/1998	other_database_import		h3n2	ha
A/Malaysia/10759/1999	other_database_import		h3n2	ha
A/NewYork/251/1998	other_database_import		h3n2	ha
A/Johannesburg/92/1999-egg	national_institute_for_medical_research	national_institute_for_communicable_disease	h3n2	ha
A/Johannesburg/72/1999-egg	who_collaborating_centre_for_reference_and_research_on_influenza	national_institute_for_communicable_disease	h3n2	ha
A/Johannesburg/57/1999-egg	who_collaborating_centre_for_reference_and_research_on_influenza	national_institute_for_communicable_disease	h3n2	ha
A/HongKong/CUHK10151/1999	other_database_import		h3n2	ha
A/Finland/620/1999	national_institute_for_medical_research	national_institute_for_health_and_welfare	h3n2	ha
A/HongKong/CUHK11255/1999	other_database_import		h3n2	ha
A/HongKong/CUHK12897/1999	other_database_import		h3n2	ha
A/NewSouthWales/4/1999	other_database_import		h3n2	ha
A/HongKong/CUHK13763/1999	other_database_import		h3n2	ha
A/HongKong/CUHK31510/1999	other_database_import		h3n2	ha
A/HongKong/CUHK31421/1999	other_database_import		h3n2	ha
A/HongKong/CUHK31448/1999	other_database_import		h3n2	ha
A/HongKong/1179/1999	other_database_import		h3n2	ha
A/HongKong/CUHK14672/1999	other_database_import		h3n2	ha
A/HongKong/CUHK10133/1999	other_database_import		h3n2	ha
A/HongKong/CUHK11230/1999	other_database_import		h3n2	ha
A/HongKong/CUHK10132/1999	other_database_import		h3n2	ha
A/HongKong/1182/1999	other_database_import		h3n2	ha
A/HongKong/1180/1999	other_database_import		h3n2	ha
A/Moscow/10/1999-egg	other_database_import		h3n2	ha
A/HongKong/CUHK30419/1999	other_database_import		h3n2	ha
A/HongKong/CUHK14875/1999	other_database_import		h3n2	ha
A/HongKong/CUHK14627/1999	other_database_import		h3n2	ha
A/Victoria/1/1999	who_collaborating_centre_for_reference_and_research_on_influenza	csl_ltd	h3n2	ha
A/Victoria/2/1999	who_collaborating_centre_for_reference_and_research_on_influenza	csl_ltd	h3n2	ha
A/HongKong/CUHK11163/1999	other_database_import		h3n2	ha
A/HongKong/CUHK12312/1999	other_database_import		h3n2	ha
A/HongKong/1143/1999	other_database_import		h3n2	ha
A/HongKong/1144/1999	other_database_import		h3n2	ha
A/HongKong/CUHK12572/1999	other_database_import		h3n2	ha
A/HongKong/CUHK30605/1999	other_database_import		h3n2	ha
A/HongKong/CUHK12580/1999	other_database_import		h3n2	ha
A/HongKong/CUHK11241/1999	other_database_import		h3n2	ha
A/HongKong/CUHK11237/1999	other_database_import		h3n2	ha
A/HongKong/CUHK30314/1999	other_database_import		h3n2	ha
A/HongKong/CUHK30423/1999	other_database_import		h3n2	ha
A/HongKong/CUHK32796/1999	other_database_import		h3n2	ha
A/Moscow/10/1999	other_database_import		h3n2	ha
A/NewYork/336/1999	other_database_import		h3n2	ha
A/NewSouthWales/5/1999	other_database_import		h3n2	ha
A/Victoria/3/1999-egg	ha	seasonal_h3n2	h3n2	ha
A/Victoria/3/1999	other_database_import	who_collaborating_centre_for_reference_and_research_on_influenza	h3n2	ha
A/HongKong/CUHK26805/2000	other_database_import		h3n2	ha
A/Oslo/5381/2000	other_database_import		h3n2	ha
A/Johannesburg/31/2000-egg	national_institute_for_medical_research	national_institute_for_communicable_disease	h3n2	ha
A/HongKong/CUHK33829/1999	other_database_import		h3n2	ha
A/NewYork/174/2000	other_database_import		h3n2	ha
A/HongKong/CUHK33885/1999	other_database_import		h3n2	ha
A/HongKong/CUHK34193/1999	other_database_import		h3n2	ha
A/Malaysia/12990/1997	other_database_import		h3n2	ha
A/Malaysia/13002/1997	other_database_import		h3n2	ha
A/Christchurch/68/1999	who_collaborating_centre_for_reference_and_research_on_influenza	canterbury_health_services	h3n2	ha
A/Netherlands/3/2000	other_database_import		h3n2	ha
A/Denmark/205/2000	other_database_import		h3n2	ha
A/Netherlands/197/2000	erasmus_medical_center		h3n2	ha
A/HongKong/CUHK52247/2000	other_database_import		h3n2	ha
A/Indonesia/755/2002	who_collaborating_centre_for_reference_and_research_on_influenza	u.s._namru_2___indonesia	h3n2	ha
A/HongKong/CUHK13172/2001	other_database_import		h3n2	ha
A/Netherlands/124/2001	other_database_import		h3n2	ha
A/Waikato/5/2001	other_database_import		h3n2	ha
A/Indonesia/3273/2002	who_collaborating_centre_for_reference_and_research_on_influenza	u.s._namru_2___indonesia	h3n2	ha
A/Indonesia/3216/2002	who_collaborating_centre_for_reference_and_research_on_influenza	u.s._namru_2___indonesia	h3n2	ha
A/Indonesia/260/2002	who_collaborating_centre_for_reference_and_research_on_influenza	u.s._namru_2___indonesia	h3n2	ha
A/Indonesia/257/2002	who_collaborating_centre_for_reference_and_research_on_influenza	u.s._namru_2___indonesia	h3n2	ha
A/Indonesia/6374/2002	who_collaborating_centre_for_reference_and_research_on_influenza	u.s._namru_2___indonesia	h3n2	ha
A/Indonesia/6372/2002	who_collaborating_centre_for_reference_and_research_on_influenza	u.s._namru_2___indonesia	h3n2	ha
A/Canterbury/6/2001	other_database_import		h3n2	ha
A/Canterbury/7/2001	other_database_import		h3n2	ha
A/Canterbury/50/2001	other_database_import		h3n2	ha
A/Wellington/22/2001	other_database_import		h3n2	ha
A/Canterbury/36/2001	other_database_import		h3n2	ha
A/Canterbury/146/2001	other_database_import		h3n2	ha
A/Canterbury/149/2001	other_database_import		h3n2	ha
A/Canterbury/140/2001	other_database_import		h3n2	ha
A/NewYork/176/2000	other_database_import		h3n2	ha
A/NewYork/440/2000	other_database_import		h3n2	ha
A/Denmark/37/2000	other_database_import		h3n2	ha
A/NewYork/158/2000	other_database_import		h3n2	ha
A/NewYork/156/2000	other_database_import		h3n2	ha
A/SouthCarolina/NHRC0001/1999	other_database_import		h3n2	ha
A/HongKong/CUHK21128/2000	other_database_import		h3n2	ha
A/HongKong/CUHK20173/2000	other_database_import		h3n2	ha
A/NewYork/429/2000	other_database_import		h3n2	ha
A/Tehran/14/1999-egg	who_collaborating_centre_for_reference_and_research_on_influenza	tehran_university_of_medical_sciences	h3n2	ha
A/California/32/1999-egg	other_database_import		h3n2	ha
A/NewYork/169/2000	other_database_import		h3n2	ha
A/NewYork/168/2000	other_database_import		h3n2	ha
A/NewYork/172/1999	other_database_import		h3n2	ha
A/NewYork/178/2000	other_database_import		h3n2	ha
A/NewYork/431/2000	other_database_import		h3n2	ha
A/NewYork/184/1999	other_database_import		h3n2	ha
A/NewYork/186/1999	other_database_import		h3n2	ha
A/NelsonMarlborough/1/2000	other_database_import		h3n2	ha
A/NewYork/436/2000	other_database_import		h3n2	ha
A/NewYork/182/2000	other_database_import		h3n2	ha
A/NewYork/149/1999	other_database_import		h3n2	ha
A/NewYork/160/2000	other_database_import		h3n2	ha
A/NewYork/421/1999	other_database_import		h3n2	ha
A/Queensland/2/2000	other_database_import		h3n2	ha
A/Canterbury/50/2000	other_database_import		h3n2	ha
A/Queensland/6/2000	other_database_import		h3n2	ha
A/SouthAustralia/71/2000	other_database_import		h3n2	ha
A/Canterbury/93/2000	other_database_import		h3n2	ha
A/NewYork/188/1999	other_database_import		h3n2	ha
A/Missouri/NHRC0001/2000	other_database_import		h3n2	ha
A/NewYork/170/2000	other_database_import		h3n2	ha
A/Queensland/10/2000	other_database_import		h3n2	ha
A/Canterbury/179/1999	other_database_import		h3n2	ha
A/NewYork/181/1999	other_database_import		h3n2	ha
A/HongKong/CUHK22087/2000	other_database_import		h3n2	ha
A/Denmark/202/2000	other_database_import		h3n2	ha
A/HongKong/CUHK20200/2000	other_database_import		h3n2	ha
A/Canterbury/81/2000	other_database_import		h3n2	ha
A/Canterbury/55/2000	other_database_import		h3n2	ha
A/Auckland/600/2000	other_database_import		h3n2	ha
A/Canterbury/3/2000	other_database_import		h3n2	ha
A/Michigan/17/2000	other_database_import		h3n2	ha
A/NewYork/434/2000	other_database_import		h3n2	ha
A/UlanUde/1/2000-egg	who_collaborating_centre_for_reference_and_research_on_influenza	centers_for_disease_control_and_prevention	h3n2	ha
A/Ireland/10586/1999-egg	national_institute_for_medical_research	national_virus_reference_laboratory	h3n2	ha
A/NewYork/151/1999	other_database_import		h3n2	ha
A/NewYork/187/2000	other_database_import		h3n2	ha
A/Illinois/NHRC0001/1999	other_database_import		h3n2	ha
A/HongKong/CUHK21124/2000	other_database_import		h3n2	ha
A/HongKong/CUHK21132/2000	other_database_import		h3n2	ha
A/HongKong/CUHK21250/2000	other_database_import		h3n2	ha
A/HongKong/CUHK20292/2000	other_database_import		h3n2	ha
A/HongKong/CUHK13033/2001	other_database_import		h3n2	ha
A/HongKong/CUHK20294/2000	other_database_import		h3n2	ha
A/Romania/387/2000	other_database_import		h3n2	ha
A/Romania/175/2000	other_database_import		h3n2	ha
A/NewYork/175/2000	other_database_import		h3n2	ha
A/NewYork/433/2000	other_database_import		h3n2	ha
A/Dunedin/1/2000	other_database_import		h3n2	ha
A/NewYork/179/1999	other_database_import		h3n2	ha
A/NewYork/430/2000	other_database_import		h3n2	ha
A/Queensland/5/2000	other_database_import		h3n2	ha
A/NewSouthWales/19/1999	other_database_import		h3n2	ha
A/NewSouthWales/15/1999	other_database_import		h3n2	ha
A/NewYork/148/2000	other_database_import		h3n2	ha
A/NewYork/153/1999	other_database_import		h3n2	ha
A/NewYork/163/1999	other_database_import		h3n2	ha
